id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
35340,white,39,never married,2,college,7,True,Master,3,None,None,True,full-time,48,168,50000
41705,white,37,married,3,school,12,True,None,5,2,other,True,None,64,165,20000
38931,white,35,never married,0,college,3,False,None,1,None,catholic,True,both,70,168,10000
34641,white,32,married,0,college,3,True,Associate,0,1,protestant,True,full-time,84,165,25000
36152,white,19,never married,0,college,2,False,None,0,None,protestant,False,full-time,51,163,5000
38618,white,23,married,0,college,5,True,Bachelor,0,1,other,False,both,68,168,20000
39811,white,15,never married,0,school,9,False,None,0,None,baptist,False,None,58,163,None
36279,white,27,married,1,school,12,True,None,1,1,catholic,True,full-time,125,175,75000
42168,white,29,never married,2,college,2,True,None,2,None,protestant,True,both,75,170,20000
35713,black,29,never married,0,school,12,True,None,0,None,baptist,False,None,54,150,None
37953,black,31,never married,1,college,2,True,Associate,2,None,baptist,True,full-time,84,160,25000
38474,black,27,divorced,2,college,2,False,None,3,1,baptist,True,full-time,83,168,50000
40512,white,37,married,2,college,5,True,Bachelor,2,1,protestant,True,full-time,52,157,30000
42206,white,34,married,3,college,4,True,Bachelor,1,1,baptist,True,part-time,70,175,7500
33807,black,16,never married,0,school,10,False,None,0,None,baptist,False,part-time,104,165,5000
34467,black,22,never married,0,college,1,False,None,0,None,baptist,False,None,82,163,20000
41355,black,18,never married,0,school,12,False,None,0,None,protestant,False,None,65,170,None
35141,white,31,never married,2,school,9,False,None,4,None,None,True,None,73,163,5000
38336,black,30,informal relationship,2,school,12,True,None,5,1,baptist,True,both,86,165,15000
35938,black,44,married,1,school,12,True,None,1,1,None,True,both,64,163,10000
42171,black,41,never married,0,school,12,True,None,0,None,baptist,True,full-time,106,165,12500
35161,black,19,never married,0,school,12,True,None,0,None,protestant,True,full-time,100,165,5000
42558,black,22,never married,1,college,1,False,None,1,None,baptist,True,both,86,165,12500
40805,black,29,separated,2,school,12,True,None,2,1,baptist,True,None,107,163,25000
39511,black,32,never married,1,college,1,False,None,1,None,baptist,True,both,86,170,15000
38299,black,24,never married,1,college,1,False,None,1,None,baptist,True,full-time,54,160,7500
38621,black,21,never married,1,school,12,True,None,1,None,protestant,True,full-time,64,160,12500
40785,black,28,never married,2,school,10,False,None,3,None,baptist,True,None,102,168,15000
34962,black,36,never married,1,school,12,True,None,1,None,baptist,False,None,113,160,None
37932,black,33,never married,4,school,9,True,None,5,None,None,True,None,125,160,20000
34567,black,21,never married,2,school,12,True,None,2,None,baptist,True,both,74,165,20000
41780,black,33,separated,3,school,9,True,None,3,1,baptist,True,None,50,168,35000
42493,black,24,never married,3,college,1,False,None,5,None,baptist,True,None,None,None,25000
41390,black,21,informal relationship,2,school,10,True,None,2,None,protestant,True,full-time,68,165,10000
37660,white,42,never married,0,school,12,True,None,0,None,baptist,True,full-time,112,157,25000
42457,white,17,never married,0,school,12,False,None,0,None,baptist,False,None,91,163,None
33680,white,39,divorced,1,school,12,True,None,2,1,baptist,True,full-time,71,157,35000
